# Timestamp,MMSI,Latitude,Longitude,ROT,SOG,COG,sog_diff,cog_diff
06/07/2024 11:49:48,209168000,54.78026,13.60604,-37.5,11.0,291.1,0.0,2.3
06/07/2024 14:37:02,209168000,54.791965,12.716563,-35.0,10.9,263.2,0.9,9.2
06/07/2024 16:33:26,209168000,54.60746,12.247455,-32.5,9.4,213.9,0.3,16.5
06/07/2024 17:30:19,209168000,54.462858,12.166682,61.1,8.8,205.4,0.3,4.4
06/07/2024 08:20:57,209764000,55.901623,127.708953,-642.8,43.7,91.9,25.6,0.1
06/07/2024 01:37:59,209968000,57.851388,9.247538,-35.0,8.3,99.8,0.3,6.5
06/07/2024 02:01:09,209968000,57.847485,9.353432,-42.9,8.9,102.8,0.2,6.5
06/07/2024 02:01:55,209968000,57.847365,9.35713,-54.7,8.8,97.3,0.1,5.5
06/07/2024 02:01:59,209968000,57.847367,9.357358,42.9,8.9,89.6,0.1,7.7
06/07/2024 02:06:49,209968000,57.846623,9.380313,35.0,8.9,91.3,0.7,3.8
06/07/2024 02:10:09,209968000,57.84608,9.396298,32.5,9.2,95.0,0.1,0.3
06/07/2024 02:10:16,209968000,57.846057,9.396873,-30.2,8.9,103.8,0.3,8.8
06/07/2024 02:10:35,209968000,57.846,9.398463,32.5,9.6,88.1,0.8,10.5
06/07/2024 02:11:32,209968000,57.845825,9.402892,-35.0,9.0,98.6,0.1,0.1
06/07/2024 02:12:09,209968000,57.845727,9.405828,45.7,9.2,85.6,0.2,13.0
06/07/2024 02:14:46,209968000,57.845115,9.418395,35.0,9.6,91.6,0.1,1.3
06/07/2024 02:28:25,209968000,57.841955,9.4853,-30.2,9.2,91.8,0.5,3.1
06/07/2024 02:28:35,209968000,57.84191,9.486203,-37.5,9.5,100.9,0.3,9.1
06/07/2024 02:35:12,209968000,57.840442,9.51859,32.5,9.3,94.7,0.4,0.4
06/07/2024 02:35:19,209968000,57.840417,9.519097,-32.5,9.4,101.2,0.1,6.5
06/07/2024 03:09:55,209968000,57.831817,9.693335,30.2,10.0,93.0,0.3,6.7
06/07/2024 04:23:46,209968000,57.820743,10.058602,30.2,8.9,92.8,0.3,1.2
06/07/2024 04:24:22,209968000,57.820635,10.061415,-35.0,9.1,97.9,0.2,3.5
06/07/2024 04:27:49,209968000,57.820073,10.077618,-30.2,9.0,94.8,0.1,4.7
06/07/2024 04:46:05,209968000,57.816995,10.165467,-32.5,9.3,98.6,0.1,5.9
06/07/2024 06:39:35,209968000,57.795188,10.73662,40.2,9.1,92.8,0.0,0.4
06/07/2024 06:39:39,209968000,57.795188,10.736947,48.6,9.2,89.9,0.1,2.9
06/07/2024 06:40:02,209968000,57.795057,10.738693,32.5,8.3,108.7,0.9,18.8
06/07/2024 06:48:42,209968000,57.783858,10.768542,40.2,7.6,128.8,0.0,0.3
